ID,Sticker,Latitud,Longitud,Nombre_comun
2853,037463,2.92949445,-75.2778687,Alcaparro
2854,037463,2.92949747,-75.27782846,Ocobo
2855,051024,2.92956276,-75.27750693,Pomarrosa
2856,036766,2.92964279,-75.27723569,Guayacan trebol
2857,036766,2.92967694,-75.27726185,Acacia roja
2858,036766,2.92967694,-75.27726185,Acacia roja
2859,009375,2.92959993,-75.27708482,Guayacan trebol
2860,050947,2.92938463,-75.27696948,Ocobo
2861,050951,2.92930125,-75.27693663,Ocobo
2862,009394,2.92926007,-75.27690243,Caucho sp.
2863,009394,2.92926007,-75.27690243,Caucho sp.
2864,054008,2.92966388,-75.27615979,Alcaparro
2865,050919,2.92960964,-75.27639516,limoncillo
2866,026043,2.93020833,-75.27600825,Oití
2867,025433,2.93092086,-75.27512547,Samán
2868,025433,2.93085322,-75.27511641,Caucho benjamin
2869,025433,2.93085322,-75.27511641,Caucho benjamin
2870,026936,2.93076081,-75.27508892,Tamarindo
2871,025405,2.93072364,-75.27507048,Lluvia de oro
2872,026931,2.93051403,-75.27498733,Caucho benjamin
2873,027184,2.93041727,-75.27495749,Oití
2874,027175,2.93008477,-75.27489044,Vainillo
2875,018029,2.92970239,-75.2751657,Leucaaena
2876,037125,2.92946833,-75.27583156,Olivo
2877,038222,2.92883348,-75.27586307,Acacia roja
2878,009010,2.92931933,-75.2762302,Mamoncillo
2879,037150,2.92929288,-75.2762882,Ocobo
2880,037164,2.9292835,-75.27632274,Oití
2881,037164,2.9292835,-75.27632274,Oití
2882,009050,2.92913718,-75.27662046,Oití
2883,009050,2.92913718,-75.27662046,Oití
2884,009050,2.92912814,-75.27665533,Oití
2885,008777,2.92894967,-75.2769145,Oití
2886,009046,2.92890179,-75.27705967,Oití
2887,009046,2.92890179,-75.27705967,Oití
2888,037168,2.92894364,-75.27711466,Oití
2889,037168,2.92893661,-75.27714483,Leucaaena
2890,037168,2.92893661,-75.27714483,Leucaaena
2891,037155,2.92897311,-75.27702581,Oití
2892,037155,2.92896139,-75.2770419,Mango
2893,037155,2.92896139,-75.2770419,Mango
2894,037155,2.92896139,-75.2770419,Mango
2895,008766,2.92855423,-75.27795017,Payandé
2896,008766,2.92855423,-75.27795017,Payandé
2897,067077,2.92855757,-75.27807791,Samán
2898,067077,2.92853983,-75.27811546,Ocobo
2899,050734,2.92842933,-75.27826231,Almendro
2900,041048,2.92886697,-75.27874444,Ocobo
2901,041048,2.92883817,-75.27876757,Leucaaena
2902,053366,2.92885558,-75.27855098,Pomarrosa
2903,053366,2.92882846,-75.2785302,Pomarrosa
2904,053376,2.92880536,-75.27866263,Guayacan trebol
2905,053376,2.92865836,-75.27862273,Oití
2906,053376,2.92865836,-75.27862273,Oití
2907,053376,2.92871763,-75.27864721,Vainillo
2908,054059,2.92791201,-75.27866431,Almendro
2909,054059,2.92789091,-75.27864452,Leucaaena
2910,054288,2.92822809,-75.27800348,Guayacan trebol
2911,054288,2.92820198,-75.27802393,Neem
2912,054061,2.92827999,-75.27769536,Ocobo
2913,054074,2.92851773,-75.27706672,Oití
2914,054074,2.92851773,-75.27706672,Oití
2915,053381,2.92896239,-75.27625937,Pomarrosa
2916,026941,2.92927279,-75.27616482,Guayacan trebol
2917,026941,2.92927279,-75.27616482,Guayacan trebol
2918,026074,2.92919544,-75.27581278,Payandé
2919,026024,2.92918406,-75.27577758,Chirlobirlo
2920,026079,2.92913316,-75.27581178,Almendro
2921,026079,2.92910771,-75.27591974,Almendro
2922,026022,2.92879096,-75.27634721,Almendro
2923,038277,2.92901429,-75.27531222,Oití
2924,038277,2.92877723,-75.2753102,Ocobo
2925,026038,2.92878426,-75.27548354,Mango
2926,035288,2.92856929,-75.2757122,Pomarrosa
2927,038228,2.92857164,-75.27586844,Caimito
2928,009066,2.92791067,-75.27591068,Almendro
2929,018927,2.92796725,-75.27528841,Almendro
2930,038233,2.92795487,-75.27621411,Oití
2931,038233,2.92795487,-75.27621411,Oití
2932,022222,2.92822307,-75.27631368,Oití
2933,022222,2.92822307,-75.27631368,Oití
2934,022222,2.92822307,-75.27631368,Oití
2935,022207,2.92819762,-75.27649909,Pomarrosa
2936,022207,2.92820599,-75.27650714,Caimito
2937,024213,2.92841527,-75.27660806,Oití
2938,024213,2.92841527,-75.27660806,Oití
2939,024761,2.92848558,-75.27602769,Pomarrosa
2940,008295,2.92852878,-75.27602769,Samán
2941,008282,2.92861048,-75.27595393,Guayacan polvillo
2942,011655,2.92870892,-75.27586106,Gomo
2943,008282,2.92857264,-75.27575042,Tamarindo
2944,008298,2.92853179,-75.27654067,Guayacan trebol
2945,038248,2.92768867,-75.27718037,Guayacan trebol
2946,038245,2.9275179,-75.27745061,Oití
2947,038245,2.92749681,-75.2779096,Palma de coco
2948,054204,2.92717101,-75.27797699,Palo de cruz
2949,054204,2.92717101,-75.27797699,Palo de cruz
2950,054204,2.92716096,-75.27786702,Oití
2951,024617,2.92704745,-75.2785302,Oití
2952,024617,2.92701665,-75.27887385,Ocobo
2953,026261,2.92694834,-75.27865559,Oití
2954,026261,2.92694834,-75.27865559,Oití
2955,008915,2.92649296,-75.27863681,Acacia roja
2956,008846,2.92649865,-75.27824387,Guayacan trebol
2957,008200,2.92743453,-75.27815066,Guayacan trebol
2958,008200,2.92740439,-75.27815334,Ocobo
2959,022190,2.92740439,-75.27815334,Guayacan trebol
2960,022190,2.92772952,-75.27795017,Mamoncillo
2961,054062,2.92799906,-75.27774297,Samán
2962,054062,2.92798935,-75.27771648,Samán
2963,038250,2.92728619,-75.2778687,Ocobo
2964,053302,2.92970942,-75.27782846,Oití
2965,008158,2.928132,-75.278284,Mango
2966,008158,2.928132,-75.278284,Caucho elástica
2967,020845,2.938477,-75.300868,Guayacan trebol
2968,051451,2.937824,-75.300513,Payandé
2969,051451,2.937806,-75.30049,Cuji
2970,051458,2.937708,-75.300571,Payandé
2971,051458,2.937672,-75.30059,Payandé
2972,003758,2.938651,-75.300547,Oití
2973,012651,2.93891,-75.299689,Guayacan trebol
2974,012542,2.939073,-75.299763,Leucaaena
2975,065271,2.940649,-75.299231,Leucaaena
2976,065271,2.940624,-75.299221,Leucaaena
2977,065271,2.940658,-75.299212,Leucaaena
2978,065264,2.940703,-75.299198,Leucaaena
2979,065264,2.940824,-75.299202,Samán
2980,065264,2.940829,-75.299187,Leucaaena
2981,065264,2.940876,-75.299169,Leucaaena
2982,065264,2.940842,-75.29917,Leucaaena
2983,067400,2.939207,-75.299975,Guayacan trebol
2984,067400,2.939162,-75.299994,Neem
2985,066373,2.939147,-75.300103,Neem
2986,066373,2.939138,-75.300105,Neem
2987,066373,2.939149,-75.300092,Neem
2988,066373,2.939134,-75.300083,Neem
2989,030356,2.939229,-75.300014,Samán
2990,030356,2.939239,-75.300058,Guayacan trebol
2991,030356,2.939239,-75.300058,Guayacan trebol
2992,030356,2.939239,-75.300058,Guayacan trebol
2993,030356,2.939269,-75.3001,Ocobo
2994,030358,2.939116,-75.300153,Neem
2995,030340,2.939085,-75.300253,Ceiba
2996,030754,2.939208,-75.300409,Guayacan trebol
2997,030359,2.939263,-75.300458,Acacia roja
2998,025625,2.93931,-75.300446,Naranjo dulce
2999,025625,2.939297,-75.30048,Oití
3000,025625,2.939282,-75.30043,Samán
3001,030361,2.939373,-75.300239,Neem
3002,026101,2.939478,-75.300341,Guayacan trebol
3003,020121,2.939518,-75.300267,Samán
3004,021758,2.939599,-75.300352,Naranjo dulce
3005,021758,2.939662,-75.300437,Mango
3006,012283,2.939568,-75.300569,Vainillo
3007,012283,2.939603,-75.300625,Ocobo
3008,020846,2.939816,-75.30057,Guayacan trebol
3009,020846,2.939867,-75.300613,Acacia roja
3010,012752,2.939827,-75.300779,Neem
3011,012752,2.939821,-75.300744,Samán
3012,021025,2.940006,-75.300747,Neem
3013,021025,2.939962,-75.300738,Acacia roja
3014,006833,2.940003,-75.300758,Guayacan trebol
3015,006833,2.940034,-75.300758,Acacia roja
3016,067386,2.938675,-75.300868,Guayacan trebol
3017,054480,2.938547,-75.301153,Neem
3018,054480,2.938547,-75.301153,Neem
3019,004613,2.93944,-75.300931,Pomarrosa
3020,012263,2.939634,-75.301004,Guayacan trebol
3021,012263,2.939634,-75.301004,Guayacan trebol
3022,012614,2.93872,-75.300907,Guayacán amarillo
3023,012614,2.939031,-75.301178,Samán
3024,012614,2.939092,-75.301137,Mango
3025,011950,2.939292,-75.301216,Neem
3026,012643,2.939533,-75.301351,Mango
3027,021765,2.940334,-75.300477,Anon
3028,021057,2.940142,-75.300235,Almendro
3029,021766,2.939828,-75.300026,Neem
3030,021766,2.939806,-75.300004,Casco de vaca
3031,067398,2.939559,-75.299626,Guayacan trebol
3032,019005,2.940151,-75.300168,Mango
3033,021791,2.940004,-75.299585,Oití
3034,021791,2.939988,-75.299542,Oití
3035,021790,2.940272,-75.299401,Oití
3036,021790,2.940317,-75.299459,Oití
3037,021725,2.940423,-75.299566,Palo de cruz
3038,021788,2.940527,-75.299992,Pomarrosa
3039,021788,2.940534,-75.300034,Pomarrosa
3040,1228-40,2.940635,-75.300393,Neem
3041,019068,2.940369,-75.300443,Guacimo
3042,019068,2.940362,-75.300472,Mango
3043,1829-40,2.940743,-75.300398,Payandé
3044,1829-40,2.940743,-75.300398,Payandé
3045,1830-40,2.941008,-75.30036,Payandé
3046,1830-40,2.941008,-75.30036,Payandé
3047,1831-40,2.941201,-75.300324,Samán
3048,068583,2.941964,-75.293892,Jambúl
3049,068583,2.941951,-75.293819,Jambúl
3050,068580,2.941997,-75.293569,Ocobo
3051,068580,2.94201,-75.293529,Guayacan trebol
3052,068584,2.942023,-75.293354,Ocobo
3053,068584,2.942034,-75.293264,Jambúl
3054,069566,2.942056,-75.293025,Guayacan trebol
3055,069566,2.942091,-75.292958,Jambúl
3056,068587,2.9421,-75.2927,Jambúl
3057,068520,2.942153,-75.292485,Jambúl
3058,068527,2.942215,-75.292225,Jambúl
3059,068527,2.942232,-75.292168,Jambúl
3060,035317,2.94309,-75.292,Oití
3061,035319,2.943347,-75.291978,Almendro
3062,035319,2.943455,-75.291965,Almendro
3063,041377,2.94307,-75.291528,Mango
3064,041383,2.942704,-75.29125,Almendro
3065,068526,2.94236,-75.291809,Guayacan trebol
3066,068528,2.942437,-75.291488,Jambúl
3067,068528,2.942437,-75.291488,Jambúl
3068,068528,2.942458,-75.291461,Neem
3069,066599,2.94259,-75.291224,Jambúl
3070,068537,2.9427,-75.29106,Jambúl
3071,068537,2.942744,-75.290856,Samán
3072,068531,2.942814,-75.290753,Jambúl
3073,017062,2.942997,-75.290709,Almendro
3074,068536,2.942967,-75.290553,Jambúl
3075,068535,2.943051,-75.290407,Jambúl
3076,068535,2.943074,-75.290349,Guayacan trebol
3077,010055,2.943027,-75.291375,Tamarindo
3078,010080,2.943293,-75.290385,Mango
3079,010080,2.943306,-75.290306,Caucho benjamin
3080,010059,2.943361,-75.29034,Mango
3081,010067,2.943476,-75.290265,Pomarrosa
3082,010067,2.943517,-75.290212,Caimito
3083,010067,2.943517,-75.290212,Caimito
3084,010070,2.943437,-75.290159,Pomarrosa
3085,010068,2.943515,-75.290107,Pomarrosa
3086,035321,2.943806,-75.29201,Pomarrosa
3087,035316,2.944081,-75.292013,Oití
3088,035316,2.944081,-75.292013,Oití
3089,035316,2.944081,-75.292013,Oití
3090,035322,2.944305,-75.29192,Ocobo
3091,010090,2.94434,-75.291389,Pomarrosa
3092,006971,2.943772,-75.290105,Oití
3093,010134,2.943611,-75.289883,Pomarrosa
3094,069520,2.943877,-75.289548,Jambúl
3095,069524,2.944417,-75.289135,Jambúl
3096,069524,2.944417,-75.289135,Jambúl
3097,069526,2.944504,-75.289075,Jambúl
3098,069526,2.944504,-75.289075,Jambúl
3099,010093,2.94435,-75.289304,Maíz tostao
3100,010093,2.944367,-75.289324,Mango
3101,010031,2.944559,-75.290454,Palo de cruz
3102,010074,2.944611,-75.290492,Pomarrosa
3103,010074,2.944551,-75.290493,Pomarrosa
3104,041265,2.944856,-75.290806,Almendro
3105,039265,2.944531,-75.289332,Tamarindo
3106,039265,2.944531,-75.289332,Tamarindo
3107,010065,2.944568,-75.289344,Mango
3108,010065,2.944571,-75.289417,Tamarindo
3109,010062,2.944604,-75.289402,Cuji
3110,010076,2.944521,-75.289247,Mango
3111,010056,2.944739,-75.289309,Mango
3112,034217,2.945136,-75.29182,Almendro
3113,034264,2.94528,-75.291838,Oití
3114,034264,2.94528,-75.291838,Oití
3115,041272,2.945357,-75.29184,Mango
3116,034222,2.945535,-75.291813,Mango
3117,034222,2.945567,-75.291816,Oití
3118,034222,2.945567,-75.291816,Oití
3119,034278,2.94613,-75.291802,Oití
3120,034285,2.94658,-75.291767,Almendro
3121,052184,2.946619,-75.291723,Almendro
3122,034206,2.946595,-75.29082,Oití
3123,034206,2.946591,-75.290761,Oití
3124,034206,2.946598,-75.290711,Oití
3125,007698,2.946548,-75.290514,Palma areca
3126,021462,2.946451,-75.290558,Mango
3127,021462,2.946436,-75.290551,Pomarrosa
3128,021462,2.946206,-75.290536,Marañon
3129,034212,2.946585,-75.290364,Oití
3130,034212,2.946584,-75.290342,Zapote
3131,034212,2.946586,-75.290307,Oití
3132,034282,2.946584,-75.289726,Cuji
3133,034280,2.946474,-75.289316,Palo de cruz
3134,034280,2.94647,-75.289305,Paraiso / Sombrilla
3135,034280,2.946469,-75.289297,Paraiso / Sombrilla
3136,034298,2.946293,-75.288559,Chicala
3137,032478,2.946229,-75.28854,Oití
3138,032478,2.946229,-75.28854,Oití
3139,032422,2.946133,-75.288545,Oití
3140,032422,2.946133,-75.288545,Oití
3141,032487,2.946021,-75.288547,Oití
3142,032414,2.94597,-75.288573,Oití
3143,032414,2.94597,-75.288573,Oití
3144,032414,2.945888,-75.288596,Oití
3145,032410,2.945831,-75.288621,Mango
3146,032410,2.945831,-75.288621,Mango
3147,039330,2.945669,-75.2887,Vainillo
3148,032491,2.945627,-75.288667,Almendro
3149,032488,2.945436,-75.288745,Oití
3150,032488,2.945372,-75.288772,Oití
3151,032412,2.945365,-75.28878,Oití
3152,032412,2.945365,-75.28878,Oití
3153,032412,2.945365,-75.28878,Oití
3154,032411,2.945183,-75.288844,Almendro
3155,032411,2.945161,-75.288851,Oití
3156,051914,2.945098,-75.288866,Aliso
3157,027391,2.944867,-75.288861,Zapote
3158,041279,2.944865,-75.288893,Pomarrosa
3159,035250,2.945091,-75.28924,Pomarrosa
3160,041341,2.945067,-75.289532,Oití
3161,009965,2.945102,-75.289769,Palma areca
3162,010082,2.944962,-75.28984,Jambúl
3163,010082,2.944938,-75.289863,Oití
3164,010082,2.944938,-75.289863,Oití
3165,010089,2.944957,-75.289901,Oití
3166,010089,2.944957,-75.289901,Oití
3167,041263,2.945415,-75.289702,Oití
3168,041263,2.945415,-75.289702,Oití
3169,041278,2.945496,-75.290623,Ocobo
3170,D0433&C4-1067,2.945199,-75.290731,Almendro
3171,D0434&C4-1068,2.945073,-75.290738,Almendro
3172,009962,2.945055,-75.290918,Oití
3173,053323,2.945269,-75.291213,Pomarrosa
3174,053323,2.94526,-75.291279,Pomarrosa
3175,041346,2.945754,-75.291503,Oití
3176,008585,2.945942,-75.290898,Oití
3177,008585,2.946012,-75.290854,Almendro
3178,008585,2.945894,-75.290862,Palo de cruz
3179,1761-40,2.945852,-75.290799,Oití
3180,050642,2.94583,-75.29081,Oití
3181,1763-40,2.945818,-75.290739,Samán
3182,050628,2.945832,-75.29069,Guayacan trebol
3183,050645,2.94599,-75.290801,Almendro
3184,031140,2.946025,-75.290767,Mango
3185,031813,2.945348,-75.289086,Oití
3186,031813,2.945348,-75.289086,Oití
3187,035244,2.946134,-75.289016,Oití
3188,006795,2.946004,-75.289325,Oití
3189,041211,2.945863,-75.289685,Oití
3190,034211,2.946889,-75.291782,Payandé
3191,034223,2.947756,-75.291701,Oití
3192,034223,2.947756,-75.291701,Oití
3193,034223,2.947805,-75.291734,Oití
3194,034223,2.947805,-75.291734,Oití
3195,034517,2.948199,-75.29169,Oití
3196,024677,2.948935,-75.291655,Almendro
3197,034159,2.948903,-75.291376,Caucho benjamin
3198,036394,2.948743,-75.290307,limoncillo
3199,036394,2.948743,-75.290307,limoncillo
3200,036394,2.948714,-75.290261,Palma areca
3201,036306,2.948621,-75.290349,Mango
3202,036306,2.948589,-75.290346,Palma areca
3203,036393,2.948675,-75.290269,Palma areca
3204,036393,2.948651,-75.290256,Palma areca
3205,036350,2.948513,-75.290284,Mango
3206,036350,2.948499,-75.290265,Palo de cruz
3207,036350,2.948479,-75.290291,Palma areca
3208,035230,2.948797,-75.289611,Oití
3209,034145,2.948857,-75.289504,Oití
3210,034145,2.948798,-75.289482,Guacimo
3211,035246,2.948943,-75.289107,Palo de cruz
3212,034122,2.94906,-75.288857,Oití
3213,069513,2.948431,-75.288454,Ocobo
3214,039773,2.948154,-75.288529,Oití
3215,032413,2.946842,-75.288458,Ocobo
3216,032413,2.946827,-75.288458,Guayacan trebol
3217,069517,2.946716,-75.288369,Oití
3218,032490,2.946733,-75.288471,Guayacan trebol
3219,032490,2.946664,-75.288475,Guayacan trebol
3220,039792,2.946619,-75.288466,Oití
3221,039792,2.946619,-75.288466,Oití
3222,032489,2.946472,-75.288514,Guayacan trebol
3223,032409,2.946368,-75.288534,Almendro
3224,069511,2.945484,-75.288636,Jambúl
3225,069508,2.945175,-75.28874,Jambúl
3226,069522,2.944954,-75.288834,Jambúl
3227,041216,2.946795,-75.289665,Almendro
3228,039316,2.946747,-75.29054,Oití
3229,041225,2.947119,-75.290638,Caucho elástica
3230,041344,2.946995,-75.290178,Oití
3231,053160,2.947057,-75.289174,Palma abanico
3232,053160,2.947048,-75.289212,limoncillo
3233,053158,2.947331,-75.289037,limoncillo
3234,053158,2.947331,-75.289037,limoncillo
3235,053150,2.947481,-75.288956,Mango
3236,053152,2.947473,-75.289154,Mango
3237,053152,2.947469,-75.289206,Mango
3238,053027,2.947415,-75.289409,Tamarindo
3239,053153,2.947418,-75.289565,Samán
3240,053163,2.947286,-75.289497,limoncillo
3241,053163,2.947303,-75.289562,Oití
3242,053163,2.947303,-75.289562,Oití
3243,053163,2.947271,-75.289568,Oití
3244,053163,2.947271,-75.289568,Oití
3245,053162,2.947161,-75.289577,Palma areca
3246,053168,2.947226,-75.28952,Palma areca
3247,053155,2.947081,-75.289468,Mango
3248,053166,2.947119,-75.28921,Teca
3249,035238,2.947517,-75.28943,Oití
3250,034137,2.947586,-75.290587,Mango
3251,034200,2.947507,-75.290887,Neem
3252,034185,2.947575,-75.291116,Pomarrosa
3253,034185,2.94757,-75.291155,Pomarrosa
3254,034300,2.947976,-75.291694,Oití
3255,034300,2.947976,-75.291694,Oití
3256,034300,2.947976,-75.291694,Oití
3257,034135,2.947936,-75.290651,Almendro
3258,067178,2.947731,-75.290475,Palo de cruz
3259,067178,2.947731,-75.290475,Palo de cruz
3260,067178,2.947731,-75.290475,Palo de cruz
3261,067178,2.947747,-75.290476,Oití
3262,067178,2.947747,-75.290476,Oití
3263,034175,2.947886,-75.290477,Mango
3264,034179,2.948008,-75.290455,limoncillo
3265,034179,2.948008,-75.290455,limoncillo
3266,034191,2.948301,-75.290438,Almendro
3267,039777,2.948165,-75.290772,Ocobo
3268,034185,2.947907,-75.290265,Mango
3269,034107,2.947907,-75.289406,Oití
3270,034107,2.947907,-75.28938,Oití
3271,034107,2.947907,-75.28938,Oití
3272,034107,2.947924,-75.289357,Oití
3273,034107,2.947924,-75.289357,Oití
3274,034141,2.948206,-75.289172,Almendro
3275,034141,2.948183,-75.289175,Almendro
3276,034119,2.948185,-75.289303,Oití
3277,034119,2.948185,-75.289303,Oití
3278,034533,2.948422,-75.291702,Caucho benjamin
3279,034110,2.948584,-75.290438,Pomarrosa
3280,034110,2.948554,-75.29044,Pomarrosa
3281,069509,2.947,-75.288339,Ocobo
3282,035226,2.946992,-75.289894,Caucho
3283,053161,2.947441,-75.289316,Ocobo
3284,053166,2.947173,-75.289178,limoncillo
3285,053166,2.947168,-75.289192,limoncillo
3286,069234,2.949309,-75.288892,Samán
3287,069220,2.950303,-75.28946,Payandé
3288,069220,2.950303,-75.28946,Payandé
3289,035928,2.95035,-75.289639,Almendro
3290,035717,2.950371,-75.289766,Oití
3291,030880,2.950718,-75.289839,Payandé
3292,030880,2.950715,-75.289828,Leucaaena
3293,035723,2.950501,-75.289991,Palma areca
3294,035723,2.950465,-75.289982,Ocobo
3295,035723,2.95047,-75.289955,Palma
3296,041407,2.950456,-75.289939,Mango
3297,035937,2.950432,-75.289906,Caucho benjamin
3298,035890,2.950286,-75.289787,Almendro
3299,054004,2.950894,-75.290131,Ocobo
3300,069202,2.951073,-75.290235,Leucaaena
3301,069202,2.951073,-75.290235,Leucaaena
3302,041333,2.951039,-75.290546,Almendro
3303,066288,2.951104,-75.290487,Ocobo
3304,066288,2.951188,-75.290479,Neem
3305,066288,2.951188,-75.290479,Neem
3306,066284,2.951237,-75.290544,Caucho benjamin
3307,066284,2.951237,-75.290544,Caucho benjamin
3308,066284,2.951237,-75.290544,Caucho benjamin
3309,066388,2.951387,-75.290745,Acacia roja
3310,066260,2.951381,-75.290797,Lluvia de oro
3311,066260,2.951312,-75.290756,Acacia roja
3312,066399,2.951228,-75.290816,Mango
3313,066399,2.951228,-75.290816,Mango
3314,066297,2.951145,-75.290851,Arbol del paraiso
3315,066297,2.951152,-75.290881,Maíz tostao
3316,066297,2.951134,-75.290971,Neem
3317,066297,2.951147,-75.290922,Mamoncillo
3318,066258,2.951165,-75.290963,Samán
3319,066258,2.951177,-75.291016,Acacia roja
3320,066245,2.951387,-75.291007,Mango
3321,066242,2.951433,-75.291019,Neem
3322,066393,2.951945,-75.290945,Guayacan trebol
3323,066393,2.951922,-75.290953,Guacimo
3324,066393,2.951909,-75.290953,Arbol del paraiso
3325,035374,2.951083,-75.291641,Arbol del paraiso
3326,044722,2.950438,-75.291563,Oití
3327,044722,2.950438,-75.291563,Oití
3328,044722,2.950404,-75.291568,Oití
3329,044722,2.950404,-75.291568,Oití
3330,035373,2.950163,-75.291599,Pomarrosa
3331,035373,2.950108,-75.291593,Pomarrosa
3332,035373,2.950085,-75.291587,Pomarrosa
3333,034266,2.949833,-75.291597,Pomarrosa
3334,036924,2.949204,-75.291639,Guayacan trebol
3335,039527,2.948965,-75.290581,Arbol del paraiso
3336,039527,2.948965,-75.290581,Arbol del paraiso
3337,038333,2.948951,-75.290559,Arbol del paraiso
3338,038332,2.94912,-75.290552,Palma areca
3339,038329,2.949147,-75.290513,limoncillo
3340,038329,2.949169,-75.290544,limoncillo
3341,034123,2.948931,-75.290413,limoncillo
3342,034123,2.949358,-75.289246,Oití
3343,034123,2.949367,-75.289281,Oití
3344,034123,2.949367,-75.289281,Oití
3345,034112,2.949259,-75.290071,Alcaparro
3346,034121,2.949271,-75.290242,Almendro
3347,034126,2.949331,-75.290393,Almendro
3348,034291,2.949791,-75.290895,Oití
3349,034198,2.949713,-75.290326,Cuji
3350,034172,2.949701,-75.290179,Jazmín de cuba
3351,034133,2.949753,-75.289959,Pomarrosa
3352,034161,2.949738,-75.289583,Oití
3353,034150,2.949889,-75.289454,Oití
3354,041321,2.950153,-75.290171,Mango
3355,041321,2.950122,-75.290127,Almendro
3356,069235,2.951386,-75.290602,Leucaaena
3357,030761,2.951624,-75.290653,Ocobo
3358,030761,2.951766,-75.290673,Samán
3359,069228,2.95204,-75.290698,Samán
3360,069228,2.952122,-75.29074,Guayacan trebol
3361,034214,2.951526,-75.291518,Caucho benjamin
3362,034301,2.952096,-75.291386,Oití
3363,035378,2.952223,-75.291341,Pomarrosa
3364,036861,2.952529,-75.291221,Jambúl
3365,035371,2.952496,-75.29138,Samán
3366,044761,2.952712,-75.291165,Oití
3367,044761,2.952712,-75.291165,Oití
3368,044762,2.953051,-75.291152,Almendro
3369,035326,2.953441,-75.290928,Arbol del jabon
3370,035326,2.953477,-75.290912,Oití
3371,035326,2.953497,-75.290909,Arbol del jabon
3372,035326,2.953497,-75.290909,Arbol del jabon
3373,041324,2.953554,-75.290825,Arbol del jabon
3374,041324,2.953547,-75.2908,Arbol del jabon
3375,041331,2.953706,-75.290837,Pomarrosa
3376,041334,2.953495,-75.290655,Almendro
3377,052120,2.95331,-75.290545,Oití
3378,052120,2.95331,-75.290545,Oití
3379,069236,2.953053,-75.290515,Guayacan trebol
3380,069243,2.953069,-75.290518,Guayacan trebol
3381,069243,2.953093,-75.29043,Samán
3382,052189,2.953034,-75.290634,Pomarrosa
3383,052183,2.952853,-75.290693,Arbol del jabon
3384,069219,2.95249,-75.290709,Payandé
3385,069219,2.95249,-75.290709,Payandé
3386,069219,2.95249,-75.290709,Payandé
3387,069219,2.952482,-75.290706,Neem
3388,069221,2.952413,-75.290629,Samán
3389,069269,2.953792,-75.290317,Guayacan trebol
3390,069280,2.953883,-75.290177,Samán
3391,069267,2.954233,-75.29013,Samán
3392,069270,2.954511,-75.28998,Samán
3393,069270,2.954522,-75.290014,Vainillo
3394,020402,2.954647,-75.290149,Pomarrosa
3395,069475,2.954911,-75.290065,Samán
3396,069222,2.955353,-75.289916,Vainillo
3397,069209,2.955737,-75.289721,Vainillo
3398,069281,2.956391,-75.289531,Vainillo
3399,030790,2.954269,-75.288233,Neem
3400,030790,2.954269,-75.288233,Neem
3401,030779,2.952827,-75.287648,Samán
3402,029664,2.950065,-75.287519,Samán
3403,037448,2.934641,-75.287795,Guayacan trebol
3404,037448,2.934641,-75.287795,Guayacan trebol
3405,037448,2.934641,-75.287795,Guayacan trebol
3406,037448,2.934575,-75.287803,Guayacan trebol
3407,037448,2.934575,-75.287803,Guayacan trebol
3408,029446,2.934563,-75.287599,Guayacan trebol
3409,029446,2.934569,-75.287555,Guayacan trebol
3410,037450,2.934713,-75.286498,Oití
3411,037498,2.934661,-75.286038,Marañon
3412,038534,2.935134,-75.285025,Aliso
3413,038534,2.935144,-75.28502,Leucaaena
3414,038534,2.935187,-75.28503,Oití
3415,038534,2.935187,-75.28503,Oití
3416,038534,2.935187,-75.28503,Oití
3417,025155,2.935523,-75.285661,Guayacan trebol
3418,005003,2.935329,-75.285663,Guayacan trebol
3419,012662,2.935008,-75.286615,Oití
3420,012662,2.935031,-75.286609,Guayacan trebol
3421,012662,2.935031,-75.286609,Guayacan trebol
3422,019874,2.935038,-75.28691,Oití
3423,019872,2.935291,-75.286928,Oití
3424,019872,2.935291,-75.286928,Oití
3425,025683,2.935387,-75.287628,Ocobo
3426,025683,2.935262,-75.28764,Oití
3427,019837,2.934934,-75.287767,Pomarrosa
3428,037455,2.934498,-75.287808,Oití
3429,037455,2.934498,-75.287808,Oití
3430,020140,2.935889,-75.287916,Casco de vaca
3431,004832,2.936017,-75.287483,Pomarrosa
3432,004822,2.935928,-75.287028,Mango
3433,019954,2.935859,-75.28702,Guayacan trebol
3434,004848,2.935585,-75.286962,Pomarrosa
3435,004822,2.936108,-75.286843,Mango
3436,004379,2.936078,-75.286583,Oití
3437,004379,2.936058,-75.286603,Oití
3438,012742,2.936184,-75.285979,Almendro
3439,015778,2.936062,-75.285852,Guayacan trebol
3440,015760,2.935902,-75.285871,Maíz tostao
3441,004747,2.935787,-75.285881,Guayacan trebol
3442,004747,2.935787,-75.285881,Guayacan trebol
3443,004744,2.935747,-75.28589,Guayacan trebol
3444,004748,2.935566,-75.285883,Maíz tostao
3445,020618,2.93563,-75.285807,Maíz tostao
3446,038554,2.935703,-75.285062,Neem
3447,038563,2.935935,-75.285038,Neem
3448,038563,2.936003,-75.285071,Guayacan trebol
3449,038586,2.9362,-75.285056,Neem
3450,020644,2.936706,-75.285851,Paraiso
3451,020899,2.936721,-75.286001,Samán
3452,004189,2.936838,-75.28602,Neem
3453,003480,2.936817,-75.286131,Ocobo
